title,author,genre
Дюна,Фрэнк Герберт,фантастика
О дивный новый мир,Олдос Хаксли,фантастика
1984,Джордж Оруэлл,фантастика
Марсианин,Энди Уир,фантастика
Основание,Айзек Азимов,фантастика
Автостопом по галактике,Дуглас Адамс,фантастика
Солярис,Станислав Лем,фантастика
Пикник на обочине,Братья Стругацкие,фантастика
Машина времени,Герберт Уэллс,фантастика
Андромеда,Иван Ефремов,фантастика
Нейромант,Уильям Гибсон,фантастика
Звездный десант,Роберт Хайнлайн,фантастика
Мы,Евгений Замятин,фантастика
Цветы для Элджернона,Дэниел Киз,фантастика
451 градус по Фаренгейту,Рэй Брэдбери,фантастика
Трудно быть богом,Братья Стругацкие,фантастика
Град обреченный,Братья Стругацкие,фантастика
Час Быка,Иван Ефремов,фантастика
Голова профессора Доуэля,Александр Беляев,фантастика
Человек-амфибия,Александр Беляев,фантастика
Шерлок Холмс,Артур Конан Дойл,детектив
Убийство в Восточном экспрессе,Агата Кристи,детектив
Десять негритят,Агата Кристи,детектив
Приключения Тома Сойера,Марк Твен,детектив
Код да Винчи,Дэн Браун,детектив
Ангелы и демоны,Дэн Браун,детектив
Девушка с татуировкой дракона,Стиг Ларссон,детектив
Молчание ягнят,Томас Харрис,детектив
Имя розы,Умберто Эко,детектив
Снеговик,Ю Несбё,детектив
Нож,Ю Несбё,детектив
Зов Кукушки,Роберт Гэлбрейт,детектив
Убийства по алфавиту,Агата Кристи,детектив
Собака Баскервилей,Артур Конан Дойл,детектив
Этюд в багровых тонах,Артур Конан Дойл,детектив
Черный орден,Джеймс Роллинс,детектив
Преступление и наказание,Фёдор Достоевский,детектив
Чисто английское убийство,Сирил Хейр,детектив
Правда о деле Гарри Квеберта,Жоэль Диккер,детектив
Охота на овец,Харуки Мураками,детектив
Хребты Безумия,Говард Лавкрафт,ужасы
Оно,Стивен Кинг,ужасы
Сияние,Стивен Кинг,ужасы
Кладбище домашних жывотных,Стивен Кинг,ужасы
Дракула,Брэм Стокер,ужасы
Франкенштейн,Мэри Шелли,ужасы
Зов Ктулху,Говард Лавкрафт,ужасы
Морок над Инсмутом,Говард Лавкрафт,ужасы
Изгоняющий дьявола,Уильям Питер Блэтти,ужасы
Интервью с вампиром,Энн Райс,ужасы
Птицы,Дафна дю Морье,ужасы
Призрак дома на холме,Шерли Джексон,ужасы
Коралина,Нил Гейман,ужасы
Психо,Роберт Блох,ужасы
Я легенда,Ричард Матесон,ужасы
Книги крови,Клайв Баркер,ужасы
Восставший из ада,Клайв Баркер,ужасы
Ужас Амитивилля,Джей Энсон,ужасы
Звонок,Кодзи Судзуки,ужасы
Кэрри,Стивен Кинг,ужасы
Краткая история времени,Стивен Хокинг,наука
Космос,Карл Саган,наука
Эгоистичный ген,Ричард Докинз,наука
Sapiens Краткая история человечества,Юваль Ной Харари,наука
Вы конечно шутите мистер Фейнман,Ричард Фейнман,наука
Одураченные случайностью,Нассим Талеб,наука
Черный лебедь,Нассим Талеб,наука
Теория всего,Стивен Хокинг,наука
Голубая точка,Карл Саган,наука
Мир полный демонов,Карл Саган,наука
Эволюция всего,Мэтт Ридли,наука
Геном,Мэтт Ридли,наука
Рождение сложности,Александр Марков,наука
Парадокс времени,Филип Зимбардо,наука
Будущее разума,Митио Каку,наука
Гиперпространство,Митио Каку,наука
Физика невозможного,Митио Каку,наука
Краткая история почти всего на свете,Билл Брайсон,наука
Остров знаний,Марсело Глейзер,наука
Структура научных революций,Томас Кун,наука
Властелин колец,Джон Р. Р. Толкин,фэнтези
Хоббит,Джон Р. Р. Толкин,фэнтези
Гарри Поттер и философский камень,Джоан Роулинг,фэнтези
Игра престолов,Джордж Мартин,фэнтези
Битва королей,Джордж Мартин,фэнтези
Ведьмак Последнее желание,Анджей Сапковский,фэнтези
Кровь эльфов,Анджей Сапковский,фэнтези
Хроники Нарнии,Клайв С. Льюис,фэнтези
Темная башня,Стивен Кинг,фэнтези
Американские боги,Нил Гейман,фэнтези
Скандинавские боги,Нил Гейман,фэнтези
Архив Буресвета,Брэндон Сандерсон,фэнтези
Рожденный туманом,Брэндон Сандерсон,фэнтези
Имя ветра,Патрик Ротфусс,фэнтези
Страж,Алексей Пехов,фэнтези
Хроники Ехо,Макс Фрай,фэнтези
Волкодав,Мария Семёнова,фэнтези
Земноморье,Урсула Ле Гуин,фэнтези
Око Мира,Роберт Джордан,фэнтези
Плоский мир,Терри Пратчетт,фэнтези
